room_type,style,color_family
bedroom,minimal,medium
office,modern,light
living_room,modern,medium
guest_room,rustic,dark
living_room,luxury,dark
office,minimal,light
bedroom,modern,light
living_room,modern,dark
bedroom,modern,medium
office,modern,light
bedroom,minimal,light
living_room,modern,medium
guest_room,rustic,medium
bedroom,minimal,light
bedroom,minimal,light
living_room,modern,dark
office,modern,light
bedroom,modern,light
guest_room,luxury,dark
guest_room,rustic,dark
guest_room,rustic,dark
bedroom,modern,light
guest_room,luxury,dark
living_room,modern,medium
guest_room,rustic,dark
bedroom,minimal,light
guest_room,luxury,dark
office,minimal,light
bedroom,modern,light
bedroom,minimal,medium
office,minimal,light
office,minimal,light
living_room,modern,dark
living_room,modern,medium
living_room,modern,dark
guest_room,luxury,dark
office,minimal,light
living_room,modern,medium
bedroom,modern,light
bedroom,modern,medium
bedroom,modern,medium
bedroom,modern,light
living_room,luxury,dark
guest_room,luxury,dark
living_room,luxury,medium
bedroom,modern,light
living_room,luxury,medium
living_room,luxury,dark
living_room,luxury,medium
guest_room,rustic,dark
living_room,modern,medium
living_room,modern,dark
office,modern,light
office,minimal,light
office,minimal,light
guest_room,rustic,dark
guest_room,rustic,medium
office,minimal,light
office,modern,light
bedroom,modern,medium
living_room,modern,dark
office,minimal,light
guest_room,rustic,medium
bedroom,modern,light
guest_room,rustic,medium
guest_room,luxury,dark
office,minimal,light
living_room,modern,dark
guest_room,luxury,medium
living_room,modern,dark
living_room,luxury,dark
living_room,luxury,dark
office,modern,light
bedroom,modern,medium
guest_room,rustic,medium
bedroom,minimal,medium
bedroom,modern,medium
guest_room,luxury,dark
bedroom,modern,medium
bedroom,minimal,medium
living_room,luxury,medium
bedroom,modern,medium
living_room,luxury,dark
living_room,luxury,dark
office,modern,light
bedroom,minimal,light
bedroom,modern,light
guest_room,rustic,medium
living_room,modern,dark
office,minimal,light
bedroom,modern,light
office,modern,light
guest_room,rustic,medium
living_room,modern,dark
office,minimal,light
office,minimal,light
guest_room,luxury,dark
living_room,luxury,dark
living_room,luxury,dark
office,modern,light
guest_room,rustic,medium
bedroom,minimal,light
office,minimal,light
living_room,modern,dark
guest_room,luxury,medium
living_room,modern,dark
office,minimal,light
office,minimal,light
living_room,modern,dark
guest_room,rustic,dark
living_room,luxury,dark
bedroom,minimal,medium
office,minimal,light
office,modern,light
living_room,luxury,dark
guest_room,luxury,medium
office,modern,light
living_room,luxury,medium
bedroom,minimal,light
living_room,modern,medium
guest_room,rustic,dark
living_room,modern,medium
office,minimal,light
office,minimal,light
office,modern,light
guest_room,rustic,medium
office,modern,light
office,modern,light
bedroom,modern,medium
bedroom,minimal,light
office,minimal,light
living_room,luxury,dark
living_room,modern,medium
bedroom,modern,medium
bedroom,minimal,medium
guest_room,rustic,medium
bedroom,modern,medium
office,minimal,light
living_room,modern,medium
bedroom,modern,light
bedroom,modern,medium
office,modern,light
bedroom,modern,medium
living_room,modern,medium
living_room,modern,medium
guest_room,rustic,medium
living_room,luxury,medium
office,minimal,light
bedroom,minimal,medium
office,modern,light
living_room,modern,medium
guest_room,rustic,medium
bedroom,minimal,medium
guest_room,luxury,dark
bedroom,minimal,light
office,minimal,light
guest_room,luxury,dark
office,minimal,light
living_room,modern,dark
living_room,modern,dark
office,minimal,light
guest_room,luxury,dark
office,minimal,light
living_room,modern,medium
office,minimal,light
bedroom,modern,light
office,minimal,light
office,modern,light
guest_room,luxury,dark
guest_room,rustic,dark
office,modern,light
bedroom,minimal,light
office,minimal,light
living_room,modern,dark
guest_room,rustic,medium
office,modern,light
office,minimal,light
office,minimal,light
bedroom,minimal,medium
guest_room,luxury,dark
guest_room,luxury,dark
guest_room,luxury,dark
living_room,modern,medium
guest_room,luxury,dark
guest_room,luxury,dark
office,modern,light
living_room,luxury,dark
office,minimal,light
guest_room,luxury,dark
guest_room,rustic,medium
bedroom,minimal,medium
living_room,luxury,dark
living_room,luxury,dark
guest_room,rustic,medium
bedroom,modern,light
living_room,modern,dark
guest_room,rustic,dark
office,minimal,light
office,modern,light
guest_room,luxury,dark
bedroom,modern,medium
office,minimal,light
guest_room,luxury,dark
guest_room,luxury,dark
guest_room,luxury,medium
office,modern,light
office,minimal,light
living_room,luxury,dark
bedroom,minimal,medium
guest_room,luxury,medium
office,modern,light
office,modern,light
guest_room,luxury,dark
living_room,luxury,medium
office,modern,light
guest_room,rustic,medium
office,minimal,light
bedroom,minimal,medium
guest_room,rustic,medium
office,minimal,light
bedroom,modern,light
living_room,modern,dark
living_room,modern,dark
living_room,modern,dark
living_room,luxury,medium
living_room,modern,dark
office,minimal,light
office,modern,light
office,minimal,light
living_room,luxury,dark
office,modern,light
living_room,modern,dark
office,modern,light
living_room,modern,medium
office,minimal,light
guest_room,luxury,medium
bedroom,modern,light
living_room,modern,medium
office,modern,light
living_room,modern,dark
living_room,luxury,dark
bedroom,modern,light
bedroom,minimal,light
office,modern,light
living_room,modern,medium
bedroom,modern,medium
bedroom,modern,light
office,modern,light
office,modern,light
guest_room,luxury,medium
office,modern,light
living_room,modern,medium
office,modern,light
guest_room,rustic,medium
guest_room,rustic,dark
guest_room,rustic,dark
bedroom,minimal,medium
office,modern,light
living_room,luxury,dark
guest_room,luxury,dark
living_room,modern,dark
bedroom,minimal,medium
office,modern,light
bedroom,modern,light
office,modern,light
living_room,modern,medium
office,minimal,light
office,modern,light
guest_room,rustic,dark
office,modern,light
guest_room,rustic,dark
living_room,luxury,dark
office,modern,light
guest_room,rustic,medium
bedroom,modern,light
guest_room,rustic,medium
bedroom,minimal,light
office,modern,light
bedroom,modern,medium
bedroom,minimal,light
bedroom,modern,medium
bedroom,modern,light
guest_room,luxury,dark
office,minimal,light
living_room,modern,dark
living_room,modern,dark
living_room,modern,dark
office,modern,light
office,modern,light
bedroom,modern,light
living_room,modern,dark
living_room,modern,dark
guest_room,rustic,dark
living_room,luxury,dark
office,modern,light
office,modern,light
guest_room,luxury,medium
office,modern,light
guest_room,rustic,medium
bedroom,modern,light
living_room,luxury,dark
living_room,luxury,medium
guest_room,rustic,medium
living_room,luxury,medium
bedroom,modern,medium
office,modern,light
living_room,modern,dark
living_room,modern,dark
guest_room,rustic,dark
office,minimal,light
guest_room,rustic,dark
office,minimal,light
office,modern,light
guest_room,rustic,dark
bedroom,minimal,medium
living_room,luxury,medium
living_room,modern,dark
office,modern,light
office,minimal,light
office,minimal,light
bedroom,modern,light
guest_room,luxury,medium
bedroom,modern,light
bedroom,modern,light
bedroom,minimal,light
living_room,modern,dark
bedroom,minimal,medium
living_room,luxury,medium
living_room,luxury,dark
living_room,modern,dark
guest_room,luxury,medium
guest_room,rustic,medium
guest_room,luxury,dark
guest_room,luxury,medium
living_room,modern,dark
guest_room,rustic,medium
living_room,luxury,medium
living_room,luxury,dark
living_room,modern,dark
office,minimal,light
bedroom,modern,light
living_room,modern,dark
guest_room,rustic,medium
bedroom,minimal,light
living_room,luxury,medium
living_room,modern,dark
office,modern,light
office,modern,light
guest_room,rustic,medium
living_room,modern,medium
living_room,luxury,dark
bedroom,modern,medium
guest_room,rustic,medium
bedroom,minimal,light
bedroom,modern,medium
guest_room,rustic,medium
